time,threads,events,ops,reads,writes,other,latency_ms,errors,reconnects
1,1,16717.78,16717.78,16717.78,0.00,0.00,0.08,0.00,0.00
2,1,16290.48,16290.48,16290.48,0.00,0.00,0.08,0.00,0.00
3,1,16592.90,16592.90,16592.90,0.00,0.00,0.08,0.00,0.00
4,1,16217.81,16217.81,16217.81,0.00,0.00,0.08,0.00,0.00
5,1,16999.79,16999.79,16999.79,0.00,0.00,0.08,0.00,0.00
6,1,16214.66,16214.66,16214.66,0.00,0.00,0.08,0.00,0.00
7,1,16945.24,16945.24,16945.24,0.00,0.00,0.07,0.00,0.00
8,1,16735.72,16735.72,16735.72,0.00,0.00,0.08,0.00,0.00
9,1,16291.04,16291.04,16291.04,0.00,0.00,0.08,0.00,0.00
10,1,16890.42,16890.42,16890.42,0.00,0.00,0.08,0.00,0.00
